X,CH1
Second,Volt,
9.00e-07,-3.16e-02
9.02e-07,-3.29e-02
9.04e-07,-3.23e-02
9.06e-07,-3.23e-02
9.08e-07,-3.23e-02
9.10e-07,-3.16e-02
9.12e-07,-3.16e-02
9.14e-07,-3.23e-02
9.16e-07,-3.23e-02
9.18e-07,-3.23e-02
9.20e-07,-3.16e-02
9.22e-07,-3.29e-02
9.24e-07,-3.16e-02
9.26e-07,-3.23e-02
9.28e-07,-3.16e-02
9.30e-07,-3.23e-02
9.32e-07,-3.16e-02
9.34e-07,-3.29e-02
9.36e-07,-3.16e-02
9.38e-07,-3.23e-02
9.40e-07,-3.23e-02
9.42e-07,-3.16e-02
9.44e-07,-3.16e-02
9.46e-07,-3.29e-02
9.48e-07,-3.16e-02
9.50e-07,-3.23e-02
